,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_iLISI,ARI,AMI,graph_cLISI,isolated_labels_ASW,paired_size,unpaired_size
0,cobolt-louvain,Embedding,10000.0,0.9324964819199896,0.8721861469972225,0.914995472406828,0.343152018189769,0.5173683080058478,0.9638561680060052,0.5331588445595749,c10k,c5k
1,multigrate-louvain,Embedding,10000.0,0.7244392846452968,0.4615870166435036,0.0,0.1896923015405049,0.4041707813371826,0.9434309662250758,0.4951939511102746,c10k,c5k
2,multivi-louvain,Embedding,10000.0,0.9402118321101968,0.8732669488265113,0.9042640727199815,0.3684070855265273,0.5347600735301509,0.96164676575724,0.5318822658661267,c10k,c5k
3,scmomat-louvain,Embedding,10000.0,0.8219679612373996,0.7283362664167671,0.1685774696715325,0.1247131396543125,0.3045117337296284,0.9176431065271125,0.4665451930461289,c10k,c5k
4,cobolt-louvain,Embedding,10000.0,0.917198305966858,0.893925247141927,0.9112409106494936,0.3575143202999121,0.5286686643311256,0.9652956123433196,0.5350631487596295,c20k,c5k
5,multigrate-louvain,Embedding,10000.0,0.7538499160882228,0.5753520699425265,2.220446049250313e-16,0.2505750483558197,0.4593033112071989,0.9514393640578636,0.5115919652516427,c20k,c5k
6,multivi-louvain,Embedding,10000.0,0.9605778818789762,0.8834073499718565,0.9068093687873372,0.3911399887817837,0.5520090327099105,0.9611849438746256,0.5360466638306641,c20k,c5k
7,cobolt-louvain,Embedding,10000.0,0.9363984430183058,0.79594606254988,0.8910455693774981,0.3579181737218847,0.5104439704834541,0.9531581332467098,0.5015726760637177,c3k,c5k
8,multigrate-louvain,Embedding,10000.0,,0.4196820163257501,0.0,0.1913399701569359,0.3949511625721313,0.9248876028097072,0.4778715045717747,c3k,c5k
9,multivi-louvain,Embedding,10000.0,0.8851126233034241,0.8374856655255584,0.7234838917914983,0.3546353705325162,0.501038262973496,0.9543713089273872,0.5062981007377738,c3k,c5k
10,scmomat-louvain,Embedding,10000.0,0.85398573845522,0.729580139394025,0.3630076009682625,0.1757355580747997,0.3390728454463003,0.9226301498887896,0.4688832689096908,c3k,c5k
11,cobolt-louvain,Embedding,10000.0,0.9479345458658957,0.8588476519133181,0.9091631433603946,0.3727256791467261,0.5312522640123533,0.9610894895963064,0.5217241948070612,c5k,c5k
12,multigrate-louvain,Embedding,10000.0,0.8141227227617196,0.4677617544387636,0.0,0.186676880297397,0.3938717247734725,0.9331372900240118,0.4891810195884951,c5k,c5k
13,multivi-louvain,Embedding,10000.0,0.8938336579305506,0.8433387491605447,0.8040817359565968,0.3717157954025024,0.5207082855722871,0.9572130553364188,0.5148587345914997,c5k,c5k
14,scmomat-louvain,Embedding,10000.0,0.8209744008036373,0.7009015846399916,0.3371137421949788,0.1383827340005566,0.307940819859812,0.9151605553448394,0.468184341286795,c5k,c5k
15,SeuratV5,Embedding,10000.0,0.7757529283029165,0.9152369292889982,0.5872704909156503,0.3681514066191729,0.6009203966267471,0.9796596036820628,0.6000671315452327,c10k,c5k
16,SeuratV5,Embedding,10000.0,0.796605100088986,0.9089804662441052,0.66352534222445,0.4076902317169127,0.6164247933680003,0.9796939273302296,0.6036258482009821,c20k,c5k
17,SeuratV5,Embedding,10000.0,0.7529414945764223,0.8520611769117263,0.5136811800760679,0.3552457987466078,0.5615949432542027,0.9725482251235346,0.5550037314103026,c3k,c5k
18,SeuratV5,Embedding,10000.0,0.7389392708738705,0.8705717797587017,0.6019380322653625,0.3238999029954557,0.5605422844017959,0.9763116886652454,0.5787609965621453,c5k,c5k
19,StabMap,Embedding,10000.0,0.5769084791762576,0.5760273615818895,0.2831652909776412,0.0779952220831864,0.1647729992819918,0.8237986347625889,0.4274186824002992,c10k,c5k
20,StabMap,Embedding,10000.0,0.6070661480534115,0.5916150128091394,0.2119411237968282,0.0778198069740494,0.1749525528634379,0.8241326909660881,0.4306870580691358,c20k,c5k
21,StabMap,Embedding,10000.0,0.5476269860979657,0.5158962940819599,0.2821572208550553,0.0376702547883416,0.1001172967026721,0.7875141675887505,0.4021699205445854,c3k,c5k
22,StabMap,Embedding,10000.0,0.5054957720297094,0.4956364783101356,0.2057391828913148,0.0405080989418226,0.1141086803086185,0.7962700929641664,0.4228467614511433,c5k,c5k
