,method,Batch_ASW_batch,graph_iLISI,Output,nCell
0,cobolt,0.9543608315143072,0.9529873403221516,Embedding,12138.0
1,MOFA2,0.939749123173054,0.952753099575136,Embedding,12138.0
2,multigrate,0.9402530456865352,0.9507912823372436,Embedding,12138.0
3,multivi,0.9496040548117042,0.9541960401771858,Embedding,12138.0
4,scAI,0.950006946649329,0.9491156042161611,Embedding,12138.0
5,scDEC,0.9841380891505264,0.9508388201208076,Embedding,12138.0
6,scMDC,0.9392818024555664,0.9574555596319008,Embedding,12138.0
7,scMVP,0.9634745524794897,0.9566501774217202,Embedding,12138.0
8,SeuratV4,,0.9577499034993342,Graph,12138.0
9,uniPort,0.9602663034356572,0.9545900277602554,Embedding,12138.0
10,cobolt,0.957192029308289,0.9541191942348162,Embedding,12138.0
11,multigrate,0.9402530456865352,0.9507912823372436,Embedding,12138.0
12,multivi,0.9496040548117042,0.9541960401771858,Embedding,12138.0
13,scAI,0.950006946649329,0.9491156042161611,Embedding,12138.0
14,scDEC,0.981713432386139,0.9475402430443078,Embedding,12138.0
15,scMDC,0.9407716278948884,0.9605046924156596,Embedding,12138.0
16,scMVP,0.9730299304913386,0.9534560453550917,Embedding,12138.0
17,SeuratV4,,0.9577499034993342,Graph,12138.0
18,uniPort,0.9602663034356572,0.9545900277602554,Embedding,12138.0
19,cobolt,0.954806162895786,0.9529522200337636,Embedding,12138.0
20,multigrate,0.9402530456865352,0.9507912823372436,Embedding,12138.0
21,multivi,0.9496040548117042,0.9541960401771858,Embedding,12138.0
22,scAI,0.950006946649329,0.9491156042161611,Embedding,12138.0
23,scDEC,0.982765736785909,0.9512449858412378,Embedding,12138.0
24,scMDC,0.9506757348710184,0.9595446793069954,Embedding,12138.0
25,scMVP,0.9677223379791928,0.9576005601291636,Embedding,12138.0
26,SeuratV4,,0.9577499034993342,Graph,12138.0
27,uniPort,0.9602663034356572,0.9545900277602554,Embedding,12138.0
28,cobolt,0.9560330284669468,0.9547597901193576,Embedding,12138.0
29,multigrate,0.9402530456865352,0.9507912823372436,Embedding,12138.0
30,multivi,0.9496040548117042,0.9541960401771858,Embedding,12138.0
31,scAI,0.950006946649329,0.9491156042161611,Embedding,12138.0
32,scDEC,0.9836657076137924,0.950485465818026,Embedding,12138.0
33,scMDC,0.9479847856229988,0.9551246626189986,Embedding,12138.0
34,scMVP,0.9733517340647664,0.9537321595109888,Embedding,12138.0
35,SeuratV4,,0.9577499034993342,Graph,12138.0
36,uniPort,0.9602663034356572,0.9545900277602554,Embedding,12138.0
37,cobolt,0.9564138232172412,0.9501301961415256,Embedding,12138.0
38,multigrate,0.9402530456865352,0.9507912823372436,Embedding,12138.0
39,multivi,0.9496040548117042,0.9541960401771858,Embedding,12138.0
40,scAI,0.950006946649329,0.9491156042161611,Embedding,12138.0
41,scDEC,0.9834329391055884,0.9529788453300072,Embedding,12138.0
42,scMDC,0.9534002887276614,0.957990305884494,Embedding,12138.0
43,scMVP,0.9711302615061896,0.9515549298125866,Embedding,12138.0
44,SeuratV4,,0.9577499034993342,Graph,12138.0
45,uniPort,0.9602663034356572,0.9545900277602554,Embedding,12138.0
46,MOFA2,0.939749123173054,0.952753099575136,Embedding,12138.0
47,MOFA2,0.939749123173054,0.952753099575136,Embedding,12138.0
48,MOFA2,0.939749123173054,0.952753099575136,Embedding,12138.0
49,MOFA2,0.939749123173054,0.952753099575136,Embedding,12138.0
